event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2009zjqg,2009-12-28T06:23:43.440000Z,2.891,126.389,77.0,4.79,mb,,Northern Molucca Sea,54,2009-12-28T06:24:47.780000Z,TNTI,GE,BHZ,s,,,2009-12-28T06:24:20.160000Z,TNTI,GE,BHZ,p,,,27.62
gfz2009zipp,2009-12-27T16:55:17.160000Z,-9.188,117.7,23.8,4.53,mb,,"Sumbawa Region, Indonesia",54,2009-12-27T16:56:52.270000Z,JAGI,GE,BHN,s,,,2009-12-27T16:56:11.060000Z,JAGI,GE,BHZ,p,,,41.21
gfz2009zbqz,2009-12-23T21:37:13.550000Z,-7.073,129.966,113.4,5.68,mb,,Banda Sea,176,2009-12-23T21:39:10.900000Z,FAKI,GE,BHE,s,,,2009-12-23T21:38:19.910000Z,FAKI,GE,BHZ,p,,,50.99
gfz2009zbqz,2009-12-23T21:37:13.550000Z,-7.073,129.966,113.4,5.68,mb,,Banda Sea,176,2009-12-23T21:39:52.510000Z,SOEI,GE,BHN,s,,,2009-12-23T21:38:43.460000Z,SOEI,GE,BHZ,p,,,69.05
gfz2009yode,2009-12-16T11:46:04.930000Z,-5.417,131.677,79.3,5.11,mb,,Banda Sea,92,2009-12-16T11:47:00.550000Z,BNDI,GE,BHE,s,,,2009-12-16T11:46:36.960000Z,BNDI,GE,BHZ,p,,,23.59
gfz2009yode,2009-12-16T11:46:04.930000Z,-5.417,131.677,79.3,5.11,mb,,Banda Sea,92,2009-12-16T11:47:13.390000Z,FAKI,GE,BHE,s,,,2009-12-16T11:46:44.080000Z,FAKI,GE,BHZ,p,,,29.31
gfz2009yode,2009-12-16T11:46:04.930000Z,-5.417,131.677,79.3,5.11,mb,,Banda Sea,92,2009-12-16T11:47:17.220000Z,SAUI,GE,BHE,s,,,2009-12-16T11:46:45.260000Z,SAUI,GE,BHZ,p,,,31.96
gfz2009yode,2009-12-16T11:46:04.930000Z,-5.417,131.677,79.3,5.11,mb,,Banda Sea,92,2009-12-16T11:49:39.550000Z,SOEI,GE,BHE,s,,,2009-12-16T11:48:05.920000Z,SOEI,GE,BHZ,p,,,93.63
gfz2009ympf,2009-12-15T15:33:43.010000Z,-3.159,139.399,20.2,4.24,mb,,"Irian Jaya, Indonesia",15,2009-12-15T15:34:13.860000Z,GENI,GE,BHZ,s,,,2009-12-15T15:34:00.850000Z,GENI,GE,BHZ,p,,,13.01
gfz2009ymno,2009-12-15T14:43:33.120000Z,1.502,99.293,26.4,4.31,M,,"Northern Sumatra, Indonesia",12,2009-12-15T14:44:31.210000Z,GSI,GE,BHN,sg,,,2009-12-15T14:44:01.100000Z,GSI,GE,BHZ,p,,,30.11
