event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2022gtxj,2022-04-07T06:36:41.090000Z,-4.163,102.08,77.8,4.6,mb,,"Southern Sumatra, Indonesia",75,2022-04-07T06:37:12.640000Z,MNAI,GE,BHN,s,,,2022-04-07T06:36:58.930000Z,MNAI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/DL,,13.71
gfz2022gjiw,2022-04-01T11:54:34.330000Z,1.933,99.164,139.5,4.81,mb,,"Northern Sumatra, Indonesia",180,2022-04-01T11:55:29.930000Z,GSI,GE,BHE,s,,,2022-04-01T11:55:05.830000Z,GSI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/DL,,24.1
gfz2022gjiw,2022-04-01T11:54:34.330000Z,1.933,99.164,139.5,4.81,mb,,"Northern Sumatra, Indonesia",180,2022-04-01T11:55:47.300000Z,BKNI,GE,BHE,s,,,2022-04-01T11:55:15.910000Z,BKNI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/DL,,31.39
gfz2022fyfw,2022-03-26T09:54:32.550000Z,-3.835,122.725,38.3,4.72,mb,,"Sulawesi, Indonesia",45,2022-03-26T09:56:09.000000Z,SANI,GE,BHZ,s,,,2022-03-26T09:55:27.090000Z,SANI,GE,BHZ,p,,,41.91
gfz2022bkjt,2022-01-20T21:49:06.750000Z,-3.457,130.967,31.6,4.8,mb,,"Seram, Indonesia",79,2022-01-20T21:51:02.890000Z,SAUI,GE,BHZ,s,,,2022-01-20T21:50:13.530000Z,SAUI,GE,BHZ,p,,,49.36
gfz2022bkjt,2022-01-20T21:49:06.750000Z,-3.457,130.967,31.6,4.8,mb,,"Seram, Indonesia",79,2022-01-20T21:51:18.870000Z,SANI,GE,BHZ,s,,,2022-01-20T21:50:22.950000Z,SANI,GE,BHZ,p,,,55.92
gfz2009miru,2009-06-25T15:13:00.900000Z,1.774,127.284,117.8,4.65,mb,,"Halmahera, Indonesia",60,2009-06-25T15:13:39.220000Z,TNTI,GE,BHE,s,,,2009-06-25T15:13:23.540000Z,TNTI,GE,BHN,p,,,15.68
gfz2009ljwe,2009-06-12T00:48:55.930000Z,1.972,99.131,135.5,4.53,mb,,"Northern Sumatra, Indonesia",23,2009-06-12T00:50:42.130000Z,LHMI,GE,BHZ,s,,,2009-06-12T00:49:56.080000Z,LHMI,GE,BHZ,p,,,46.05
gfz2009itjx,2009-05-05T12:48:06.200000Z,1.514,126.853,23.0,4.97,mb,,Northern Molucca Sea,24,2009-05-05T12:50:15.260000Z,LUWI,GE,BHN,s,,,2009-05-05T12:49:18.900000Z,LUWI,GE,BHZ,p,,,56.36
gfz2009inbh,2009-05-02T01:33:58.020000Z,-8.484,108.003,19.4,4.16,mb,,"Java, Indonesia",20,2009-05-02T01:35:08.220000Z,UGM,GE,BHE,s,,,2009-05-02T01:34:38.540000Z,UGM,GE,BHZ,p,,,29.68
