filename,network,station,channel,trace_id,start_time,end_time,duration,sampling_rate,samples
GE.LUWI.BH.gfz2019velu.mseed,GE,LUWI,BHE,GE.LUWI..BHE,2019-10-29T06:45:26.719538,2019-10-29T06:50:27.509538,300.79,100.0,30080
GE.LUWI.BH.gfz2019velu.mseed,GE,LUWI,BHN,GE.LUWI..BHN,2019-10-29T06:45:26.719538,2019-10-29T06:50:27.509538,300.79,100.0,30080
GE.LUWI.BH.gfz2019velu.mseed,GE,LUWI,BHZ,GE.LUWI..BHZ,2019-10-29T06:45:26.719538,2019-10-29T06:50:27.509538,300.79,100.0,30080
GE.UGM.HL.gfz2009ptvf.mseed,GE,UGM,HLE,GE.UGM..HLE,2009-08-13T10:48:13.658393,2009-08-13T10:53:14.468393,300.81,100.0,30082
GE.UGM.HL.gfz2009ptvf.mseed,GE,UGM,HLN,GE.UGM..HLN,2009-08-13T10:48:13.658393,2009-08-13T10:53:14.468393,300.81,100.0,30082
GE.UGM.HL.gfz2009ptvf.mseed,GE,UGM,HLZ,GE.UGM..HLZ,2009-08-13T10:48:13.658393,2009-08-13T10:53:14.468393,300.81,100.0,30082
GE.MMRI.SH.gfz2012ugap.mseed,GE,MMRI,SHE,GE.MMRI..SHE,2012-10-14T21:49:28.408393,2012-10-14T21:54:29.228393,300.82,100.0,30083
GE.MMRI.SH.gfz2012ugap.mseed,GE,MMRI,SHN,GE.MMRI..SHN,2012-10-14T21:49:28.408393,2012-10-14T21:54:29.228393,300.82,100.0,30083
GE.MMRI.SH.gfz2012ugap.mseed,GE,MMRI,SHZ,GE.MMRI..SHZ,2012-10-14T21:49:28.408393,2012-10-14T21:54:29.228393,300.82,100.0,30083
GE.TNTI.BL.gfz2013pmbh.mseed,GE,TNTI,BLE,GE.TNTI..BLE,2013-08-09T01:20:15.369539,2013-08-09T01:25:16.209539,300.84,100.0,30085
GE.TNTI.BL.gfz2013pmbh.mseed,GE,TNTI,BLN,GE.TNTI..BLN,2013-08-09T01:20:15.369538,2013-08-09T01:25:16.209538,300.84,100.0,30085
GE.TNTI.BL.gfz2013pmbh.mseed,GE,TNTI,BLZ,GE.TNTI..BLZ,2013-08-09T01:20:15.369538,2013-08-09T01:25:16.209538,300.84,100.0,30085
GE.TNTI.BL.gfz2010uxfg.mseed,GE,TNTI,BLE,GE.TNTI..BLE,2010-10-25T12:05:36.119539,2010-10-25T12:10:36.909539,300.79,100.0,30080
GE.TNTI.BL.gfz2010uxfg.mseed,GE,TNTI,BLN,GE.TNTI..BLN,2010-10-25T12:05:36.119538,2010-10-25T12:10:36.919538,300.8,100.0,30081
GE.TNTI.BL.gfz2010uxfg.mseed,GE,TNTI,BLZ,GE.TNTI..BLZ,2010-10-25T12:05:36.119539,2010-10-25T12:10:36.909539,300.79,100.0,30080
GE.PLAI.SH.gfz2012xqdd.mseed,GE,PLAI,SHE,GE.PLAI..SHE,2012-12-02T03:05:11.628393,2012-12-02T03:10:12.438393,300.81,100.0,30082
