filename,station,channel,channel_type,is_augmented,original_channel,data_length,num_components,data_shape,p_index,s_index,p_s_interval,data_min,data_max,data_mean,data_std,data_range
GE.MNAI.BH.gfz2013ydaj.npz,MNAI,BHE_BHN_BHZ,BH,False,nan,30085,3,"(30085, 3)",3000,4816,1816,-1.0,0.9438506204068432,4.219228823294318e-19,0.08547084615180563,1.943850620406843
GE.FAKI.HL.gfz2009blnm.npz,FAKI,HLE_HLN_HLZ,HL,True,BHZ,30085,3,"(30085, 3)",3000,6290,3290,-0.9234592877050862,1.0,-4.074038239502031e-07,0.052990057792555,1.9234592877050862
GE.FAKI.BH.gfz2009ilut.npz,FAKI,BHE_BHN_BHZ,BH,False,nan,30085,3,"(30085, 3)",3000,10776,7776,-1.0,1.0,1.9150132455115437e-17,0.09188814918165998,2.0
GE.MMRI.BH.gfz2025eumh.npz,MMRI,BHE_BHN_BHZ,BH,False,nan,30085,3,"(30085, 3)",3001,6002,3001,-1.0,1.0,-1.574522709567559e-19,0.1576532795824664,2.0
GE.SOEI.BH.gfz2013yfql.npz,SOEI,BHE_BHN_BHZ,BH,False,nan,30085,3,"(30085, 3)",3001,3736,735,-1.0,0.9029291613952473,2.5167953638223146e-19,0.08881158507504065,1.9029291613952473
GE.PLAI.BH.gfz2024xkub.npz,PLAI,BHE_BHN_BHZ,BH,False,nan,30085,3,"(30085, 3)",3001,6670,3669,-1.0,1.0,-2.9974976083392405e-17,0.10596011650154395,2.0
GE.TNTI.SH.gfz2024yovi.npz,TNTI,SHE_SHN_SHZ,SH,True,BHZ,30085,3,"(30085, 3)",3000,4983,1983,-1.0,1.0,-2.4146882043775193e-07,0.08418728653283813,2.0
GE.PLAI.BH.gfz2012dgxi.npz,PLAI,BHE_BHN_BHZ,BH,False,nan,30085,3,"(30085, 3)",3002,4152,1150,-1.0,0.78122303078947,-2.3614850952074206e-08,0.06155685814080255,1.7812230307894699
GE.MNAI.BH.gfz2009pxkx.npz,MNAI,BHE_BHN_BHZ,BH,False,nan,30085,3,"(30085, 3)",3002,6811,3809,-0.9111300327641122,1.0,-4.124246816830972e-06,0.2156869466147564,1.9111300327641123
GE.MNAI.SH.gfz2025jjgk.npz,MNAI,SHE_SHN_SHZ,SH,True,BHZ,30085,3,"(30085, 3)",3000,3934,934,-1.0,1.0,-3.3384412807820585e-08,0.0396526085149563,2.0
GE.SMRI.SH.gfz2013jvgk.npz,SMRI,SHE_SHN_SHZ,SH,True,BHZ,30085,3,"(30085, 3)",3001,7004,4003,-1.0,0.9295457993538975,1.7943162390562554e-16,0.2711986908912917,1.9295457993538974
GE.SAUI.SH.gfz2012rbpj.npz,SAUI,SHE_SHN_SHZ,SH,True,BHZ,30085,3,"(30085, 3)",3001,5751,2750,-1.0,1.0,4.408663586789165e-18,0.1592008152371696,2.0
GE.PLAI.BH.gfz2018qgyg.npz,PLAI,BHE_BHN_BHZ,BH,False,nan,30085,3,"(30085, 3)",3001,4244,1243,-1.0,1.0,5.3045424066157694e-17,0.30571125547628325,2.0
GE.PLAI.SH.gfz2024wupd.npz,PLAI,SHE_SHN_SHZ,SH,True,BHZ,30085,3,"(30085, 3)",3000,8091,5091,-1.0,1.0,-3.7821557454351705e-07,0.041743770057169644,2.0
GE.TNTI.BH.gfz2018lwgs.npz,TNTI,BHE_BHN_BHZ,BH,False,nan,30085,3,"(30085, 3)",3001,7595,4594,-0.955047161760983,1.0,6.88853685435807e-18,0.24001858437741053,1.955047161760983
GE.FAKI.BH.gfz2014genx.npz,FAKI,BHE_BHN_BHZ,BH,False,nan,30085,3,"(30085, 3)",3001,6226,3225,-1.0,1.0,2.7615652210774765e-18,0.14309763092527286,2.0
GE.TNTI.BL.gfz2012qmyd.npz,TNTI,BLE_BLN_BLZ,BL,True,BHZ,30085,3,"(30085, 3)",3002,8184,5182,-1.0,0.9371284816674293,7.823763565212675e-06,0.2603334713099451,1.9371284816674295
GE.SOEI.HL.gfz2010ghiq.npz,SOEI,HLE_HLN_HLZ,HL,True,BHZ,30085,3,"(30085, 3)",3000,10475,7475,-1.0,1.0,-2.485035204956228e-07,0.08487076253553216,2.0
GE.TNTI.SH.gfz2013sadc.npz,TNTI,SHE_SHN_SHZ,SH,True,BHZ,30085,3,"(30085, 3)",3000,5314,2314,-1.0,1.0,1.999940452075279e-06,0.09858272160035485,2.0
GE.LUWI.BH.gfz2013qwcb.npz,LUWI,BHE_BHN_BHZ,BH,False,nan,30085,3,"(30085, 3)",3000,6053,3053,-1.0,1.0,1.4536657906495803e-18,0.0960426333803967,2.0
GE.FAKI.BL.gfz2012wbis.npz,FAKI,BLE_BLN_BLZ,BL,True,BHZ,30085,3,"(30085, 3)",3001,10290,7289,-1.0,1.0,9.055042314178002e-13,0.22755762815674888,2.0
GE.UGM.SL.gfz2015kylx.npz,UGM,SLE_SLN_SLZ,SL,True,BHZ,30085,3,"(30085, 3)",3001,5107,2106,-1.0,1.0,2.9082977831620753e-16,0.04506169464845161,2.0
GE.LUWI.BL.gfz2009eavu.npz,LUWI,BLE_BLN_BLZ,BL,True,BHZ,30085,3,"(30085, 3)",3001,4580,1579,-1.0,1.0,7.593209572641564e-16,0.052662753703665015,2.0
GE.BKNI.SH.gfz2019ckqw.npz,BKNI,SHE_SHN_SHZ,SH,True,BHZ,30085,3,"(30085, 3)",3001,4922,1921,-1.0,1.0,9.053505580013464e-19,0.13095462414803882,2.0
GE.TOLI2.SH.gfz2017zisk.npz,TOLI2,SHE_SHN_SHZ,SH,True,BHZ,30085,3,"(30085, 3)",3001,3614,613,-1.0,1.0,8.73060541496543e-19,0.042261894526640885,2.0
GE.TNTI.HL.gfz2009bjnh.npz,TNTI,HLE_HLN_HLZ,HL,True,BHZ,30085,3,"(30085, 3)",3000,9468,6468,-1.0,1.0,1.1643444554314835e-06,0.13011933613757673,2.0
GE.LUWI.SH.gfz2010occd.npz,LUWI,SHE_SHN_SHZ,SH,True,BHZ,30085,3,"(30085, 3)",3001,4792,1791,-1.0,1.0,2.0565665273892679e-19,0.0889539826129409,2.0
GE.TOLI2.SH.gfz2014kait.npz,TOLI2,SHE_SHN_SHZ,SH,True,BHZ,30085,3,"(30085, 3)",3001,4231,1230,-1.0,1.0,1.8297676019388626e-19,0.04775181438833236,2.0
GE.SANI.BL.gfz2013yfsc.npz,SANI,BLE_BLN_BLZ,BL,True,BHZ,30085,3,"(30085, 3)",3001,10540,7539,-1.0,1.0,1.7260705203634365e-15,0.11729850472251713,2.0
GE.FAKI.BH.gfz2009rpju.npz,FAKI,BHE_BHN_BHZ,BH,False,nan,30085,3,"(30085, 3)",3001,7454,4453,-1.0,0.8942356656649105,2.362706636251476e-18,0.04953802101853582,1.8942356656649104
GE.BNDI.SH.gfz2021jacz.npz,BNDI,SHE_SHN_SHZ,SH,True,BHZ,30085,3,"(30085, 3)",3000,4993,1993,-1.0,1.0,-7.936141970319655e-07,0.11569786060031612,2.0
GE.UGM.SH.gfz2014cxla.npz,UGM,SHE_SHN_SHZ,SH,True,BHZ,30085,3,"(30085, 3)",3000,5495,2495,-1.0,0.8794315123070966,-9.019077861773203e-07,0.11568874946658675,1.8794315123070966
GE.SANI.SH.gfz2010antw.npz,SANI,SHE_SHN_SHZ,SH,True,BHZ,30085,3,"(30085, 3)",3000,7367,4367,-1.0,1.0,1.6145269645318409e-07,0.05603057526437983,2.0
GE.FAKI.SH.gfz2010gdlm.npz,FAKI,SHE_SHN_SHZ,SH,True,BHZ,30085,3,"(30085, 3)",3000,7887,4887,-1.0,1.0,4.3100482247389906e-07,0.09561158695340884,2.0
GE.LUWI.BL.gfz2013kbys.npz,LUWI,BLE_BLN_BLZ,BL,True,BHZ,30085,3,"(30085, 3)",3002,5351,2349,-0.8906571405895013,1.0,1.3274627023320322e-07,0.059617356791889925,1.8906571405895014
GE.MNAI.BL.gfz2025hvpc.npz,MNAI,BLE_BLN_BLZ,BL,True,BHZ,30085,3,"(30085, 3)",3001,9137,6136,-1.0,1.0,2.0143668585811234e-15,0.09048257666318567,2.0
GE.BNDI.HH.gfz2015ycfz.npz,BNDI,HHE_HHN_HHZ,HH,True,BHZ,30085,3,"(30085, 3)",3000,3926,926,-1.0,1.0,3.561739667547809e-08,0.0699260292208559,2.0
GE.SAUI.BH.gfz2013qxro.npz,SAUI,BHE_BHN_BHZ,BH,False,nan,30085,3,"(30085, 3)",3001,5206,2205,-0.812444785596118,1.0,2.4011471320905274e-18,0.08954865227867771,1.812444785596118
GE.SOEI.BL.gfz2013dwus.npz,SOEI,BLE_BLN_BLZ,BL,True,BHZ,30085,3,"(30085, 3)",3001,9731,6730,-1.0,1.0,5.826378989264875e-13,0.15397465310210343,2.0
GE.LUWI.BL.gfz2013pxfu.npz,LUWI,BLE_BLN_BLZ,BL,True,BHZ,30085,3,"(30085, 3)",3001,4833,1832,-0.8187975422520661,1.0,2.22265118829412e-16,0.04423780195640693,1.8187975422520661
GE.SOEI.BL.gfz2024qram.npz,SOEI,BLE_BLN_BLZ,BL,True,BHZ,30085,3,"(30085, 3)",3000,9539,6539,-1.0,1.0,-1.5969867202879673e-14,0.09322427943450867,2.0
GE.LUWI.BL.gfz2010abbl.npz,LUWI,BLE_BLN_BLZ,BL,True,BHZ,30085,3,"(30085, 3)",3001,8712,5711,-1.0,1.0,4.6235305823311285e-15,0.06718028638118932,2.0
GE.SAUI.HL.gfz2010abkc.npz,SAUI,HLE_HLN_HLZ,HL,True,BHZ,30085,3,"(30085, 3)",3000,5646,2646,-1.0,1.0,8.652234288374861e-07,0.09563253474861665,2.0
GE.SANI.BH.gfz2010cret.npz,SANI,BHE_BHN_BHZ,BH,False,nan,30085,3,"(30085, 3)",3002,6703,3701,-1.0,1.0,2.399360466430255e-07,0.0626989833117627,2.0
GE.FAKI.SH.gfz2025dcky.npz,FAKI,SHE_SHN_SHZ,SH,True,BHZ,30085,3,"(30085, 3)",3001,8234,5233,-1.0,0.7761484675985133,1.317432673395981e-18,0.04526525615878954,1.7761484675985133
GE.TNTI.BH.gfz2011ywdf.npz,TNTI,BHE_BHN_BHZ,BH,False,nan,30085,3,"(30085, 3)",3001,4745,1744,-1.0,1.0,-2.3681655064855466e-13,0.17531562811281456,2.0
GE.JAGI.SH.gfz2010teou.npz,JAGI,SHE_SHN_SHZ,SH,True,BHZ,30085,3,"(30085, 3)",3001,6105,3104,-1.0,1.0,-1.7667251887628177e-19,0.08653816284591416,2.0
GE.PLAI.SH.gfz2012dcye.npz,PLAI,SHE_SHN_SHZ,SH,True,BHZ,30085,3,"(30085, 3)",3001,4107,1106,-1.0,1.0,9.225719001372416e-21,0.052939110290026695,2.0
GE.JAGI.BL.gfz2017tacj.npz,JAGI,BLE_BLN_BLZ,BL,True,BHZ,30085,3,"(30085, 3)",3001,4727,1726,-1.0,1.0,-5.83511227628883e-15,0.06939069586753543,2.0
GE.SANI.BH.gfz2013yfsc.npz,SANI,BHE_BHN_BHZ,BH,False,nan,30085,3,"(30085, 3)",3001,10540,7539,-1.0,1.0,2.2043317933945826e-18,0.1118699013184472,2.0
GE.SOEI.HL.gfz2010kolf.npz,SOEI,HLE_HLN_HLZ,HL,True,BHZ,30085,3,"(30085, 3)",3000,9897,6897,-0.9834535478488173,1.0,4.134100391579705e-08,0.06560135319422743,1.9834535478488173
GE.MNAI.BL.gfz2011swwe.npz,MNAI,BLE_BLN_BLZ,BL,True,BHZ,30085,3,"(30085, 3)",3001,4888,1887,-1.0,1.0,2.0015174309179954e-15,0.04450586994353894,2.0
GE.FAKI.BL.gfz2009dseu.npz,FAKI,BLE_BLN_BLZ,BL,True,BHZ,30085,3,"(30085, 3)",3001,12386,9385,-1.0,1.0,2.745980595298177e-13,0.28562302241768767,2.0
GE.BKNI.BL.gfz2009ymno.npz,BKNI,BLE_BLN_BLZ,BL,True,BHZ,30085,3,"(30085, 3)",3002,6432,3430,-1.0,0.9978175061259972,6.341097131951717e-08,0.07817113295689736,1.997817506125997
GE.FAKI.BL.gfz2009aixg.npz,FAKI,BLE_BLN_BLZ,BL,True,BH,30085,3,"(30085, 3)",3001,6068,3067,-1.0,1.0,1.4952902666303857e-14,0.0725020353960663,2.0
