filename,p_index,s_index,ps_interval_samples,ps_interval_seconds,data_length
GE.MNAI.BH.gfz2013ydaj.npz,3000,4816,1816,18.16,30085
GE.FAKI.HL.gfz2009blnm.npz,3000,6290,3290,32.9,30085
GE.FAKI.BH.gfz2009ilut.npz,3000,10776,7776,77.76,30085
GE.MMRI.BH.gfz2025eumh.npz,3001,6002,3001,30.01,30085
GE.SOEI.BH.gfz2013yfql.npz,3001,3736,735,7.35,30085
GE.PLAI.BH.gfz2024xkub.npz,3001,6670,3669,36.69,30085
GE.TNTI.SH.gfz2024yovi.npz,3000,4983,1983,19.83,30085
GE.PLAI.BH.gfz2012dgxi.npz,3002,4152,1150,11.5,30085
GE.MNAI.BH.gfz2009pxkx.npz,3002,6811,3809,38.09,30085
GE.MNAI.SH.gfz2025jjgk.npz,3000,3934,934,9.34,30085
GE.SMRI.SH.gfz2013jvgk.npz,3001,7004,4003,40.03,30085
GE.SAUI.SH.gfz2012rbpj.npz,3001,5751,2750,27.5,30085
GE.PLAI.BH.gfz2018qgyg.npz,3001,4244,1243,12.43,30085
GE.PLAI.SH.gfz2024wupd.npz,3000,8091,5091,50.91,30085
GE.TNTI.BH.gfz2018lwgs.npz,3001,7595,4594,45.94,30085
GE.FAKI.BH.gfz2014genx.npz,3001,6226,3225,32.25,30085
GE.TNTI.BL.gfz2012qmyd.npz,3002,8184,5182,51.82,30085
GE.SOEI.HL.gfz2010ghiq.npz,3000,10475,7475,74.75,30085
GE.TNTI.SH.gfz2013sadc.npz,3000,5314,2314,23.14,30085
GE.LUWI.BH.gfz2013qwcb.npz,3000,6053,3053,30.53,30085
GE.FAKI.BL.gfz2012wbis.npz,3001,10290,7289,72.89,30085
GE.UGM.SL.gfz2015kylx.npz,3001,5107,2106,21.06,30085
GE.LUWI.BL.gfz2009eavu.npz,3001,4580,1579,15.79,30085
GE.BKNI.SH.gfz2019ckqw.npz,3001,4922,1921,19.21,30085
GE.TOLI2.SH.gfz2017zisk.npz,3001,3614,613,6.13,30085
GE.TNTI.HL.gfz2009bjnh.npz,3000,9468,6468,64.68,30085
GE.LUWI.SH.gfz2010occd.npz,3001,4792,1791,17.91,30085
GE.TOLI2.SH.gfz2014kait.npz,3001,4231,1230,12.3,30085
GE.SANI.BL.gfz2013yfsc.npz,3001,10540,7539,75.39,30085
GE.FAKI.BH.gfz2009rpju.npz,3001,7454,4453,44.53,30085
GE.BNDI.SH.gfz2021jacz.npz,3000,4993,1993,19.93,30085
GE.UGM.SH.gfz2014cxla.npz,3000,5495,2495,24.95,30085
GE.SANI.SH.gfz2010antw.npz,3000,7367,4367,43.67,30085
GE.FAKI.SH.gfz2010gdlm.npz,3000,7887,4887,48.87,30085
GE.LUWI.BL.gfz2013kbys.npz,3002,5351,2349,23.49,30085
GE.MNAI.BL.gfz2025hvpc.npz,3001,9137,6136,61.36,30085
GE.BNDI.HH.gfz2015ycfz.npz,3000,3926,926,9.26,30085
GE.SAUI.BH.gfz2013qxro.npz,3001,5206,2205,22.05,30085
GE.SOEI.BL.gfz2013dwus.npz,3001,9731,6730,67.3,30085
GE.LUWI.BL.gfz2013pxfu.npz,3001,4833,1832,18.32,30085
GE.SOEI.BL.gfz2024qram.npz,3000,9539,6539,65.39,30085
GE.LUWI.BL.gfz2010abbl.npz,3001,8712,5711,57.11,30085
GE.SAUI.HL.gfz2010abkc.npz,3000,5646,2646,26.46,30085
GE.SANI.BH.gfz2010cret.npz,3002,6703,3701,37.01,30085
GE.FAKI.SH.gfz2025dcky.npz,3001,8234,5233,52.33,30085
GE.TNTI.BH.gfz2011ywdf.npz,3001,4745,1744,17.44,30085
GE.JAGI.SH.gfz2010teou.npz,3001,6105,3104,31.04,30085
GE.PLAI.SH.gfz2012dcye.npz,3001,4107,1106,11.06,30085
GE.JAGI.BL.gfz2017tacj.npz,3001,4727,1726,17.26,30085
GE.SANI.BH.gfz2013yfsc.npz,3001,10540,7539,75.39,30085
GE.SOEI.HL.gfz2010kolf.npz,3000,9897,6897,68.97,30085
GE.MNAI.BL.gfz2011swwe.npz,3001,4888,1887,18.87,30085
GE.FAKI.BL.gfz2009dseu.npz,3001,12386,9385,93.85,30085
GE.BKNI.BL.gfz2009ymno.npz,3002,6432,3430,34.3,30085
GE.FAKI.BL.gfz2009aixg.npz,3001,6068,3067,30.67,30085
GE.JAGI.SH.gfz2013dfav.npz,3001,5680,2679,26.79,30085
GE.FAKI.BL.gfz2009daap.npz,3001,8275,5274,52.74,30085
GE.FAKI.HH.gfz2009bhxw.npz,3000,6891,3891,38.91,30085
GE.TNTI.BH.gfz2009floe.npz,3001,7647,4646,46.46,30085
GE.FAKI.BH.gfz2025dcky.npz,3001,8234,5233,52.33,30085
GE.FAKI.BH.gfz2009apmo.npz,3001,7290,4289,42.89,30085
GE.SANI.BL.gfz2012awsq.npz,3001,6605,3604,36.04,30085
GE.GSI.BL.gfz2010wlnb.npz,3001,5863,2862,28.62,30085
GE.FAKI.BL.gfz2010abkc.npz,3001,7816,4815,48.15,30085
GE.SAUI.BH.gfz2020ugnr.npz,3001,6890,3889,38.89,30085
GE.TNTI.HL.gfz2009bmox.npz,3000,5027,2027,20.27,30085
GE.TNTI.BL.gfz2009agwc.npz,3001,8358,5357,53.57,30085
GE.TNTI.BH.gfz2015thvg.npz,3001,5645,2644,26.44,30085
GE.UGM.SL.gfz2012atnm.npz,3001,4416,1415,14.15,30085
GE.GSI.SH.gfz2021kfyy.npz,3000,5466,2466,24.66,30085
GE.FAKI.BL.gfz2009aqpt.npz,3001,6401,3400,34.0,30085
GE.MNAI.BL.gfz2009gbpk.npz,3001,5182,2181,21.81,30085
GE.FAKI.BL.gfz2009apmo.npz,3001,7290,4289,42.89,30085
GE.UGM.BH.gfz2015vcni.npz,3001,4542,1541,15.41,30085
GE.GSI.SH.gfz2021jpkx.npz,3000,4983,1983,19.83,30085
GE.TNTI.BH.gfz2010cuix.npz,3000,4373,1373,13.73,30085
GE.JAGI.BL.gfz2012rjhn.npz,3001,5778,2777,27.77,30085
GE.UGM.BL.gfz2009rerx.npz,3000,6676,3676,36.76,30085
GE.TNTI.BH.gfz2014hjch.npz,3001,4447,1446,14.46,30085
GE.FAKI.HH.gfz2009byjb.npz,3000,7194,4194,41.94,30085
GE.FAKI.BH.gfz2013avzn.npz,3001,7374,4373,43.73,30085
GE.SOEI.SH.gfz2013tulg.npz,3001,8350,5349,53.49,30085
GE.SOEI.BH.gfz2021asjr.npz,3001,10212,7211,72.11,30085
GE.FAKI.HH.gfz2009fpfk.npz,3000,8687,5687,56.87,30085
GE.LUWI.HH.gfz2009hmmo.npz,3000,10545,7545,75.45,30085
GE.UGM.HH.gfz2009npjw.npz,3000,5550,2550,25.5,30085
GE.TNTI.BH.gfz2009algf.npz,3001,4727,1726,17.26,30085
GE.SOEI.BL.gfz2012wbis.npz,3002,8013,5011,50.11,30085
GE.SAUI.SH.gfz2010tcda.npz,3001,7449,4448,44.48,30085
GE.PLAI.BL.gfz2012qetk.npz,3001,7071,4070,40.7,30085
