epoch,train_loss,val_loss
1,12.129696,12.213276
2,12.086185,12.17638
3,12.060971,12.153965
4,12.045553,12.140139
5,12.0361395,12.13151
6,12.030302,12.126091
7,12.026485,12.122673
8,12.024207,12.120513
9,12.022756,12.119152
10,12.021774,12.118292
11,12.021191,12.117746
12,12.02084,12.117405
13,12.020603,12.117188
14,12.020408,12.117047
15,12.020306,12.1169615
16,12.020379,12.116905
17,12.020264,12.116875
18,12.020262,12.116857
19,12.020262,12.11685
20,12.020235,12.116848
21,12.02021,12.116847
22,12.020177,12.116847
23,12.02022,12.116847
24,12.020272,12.116847
25,12.020191,12.116846
26,12.020303,12.116846
27,12.020237,12.116846
28,12.02027,12.116846
29,12.020238,12.116846
30,12.020114,12.116846
31,12.020333,12.116846
32,12.020257,12.116846
33,12.020196,12.116846
34,12.020191,12.116846
35,12.0202265,12.116846
36,12.020233,12.116846
37,12.020191,12.116846
38,12.020183,12.116846
39,12.020225,12.116846
40,12.020292,12.116846
41,12.0202055,12.116846
42,12.020203,12.116846
43,12.020188,12.116846
44,12.020188,12.116846
45,12.020283,12.116846
46,12.020161,12.116846
47,12.020189,12.116846
48,12.020313,12.116846
49,12.020231,12.116846
50,12.020213,12.116846
51,12.020234,12.116846
52,12.020192,12.116846
53,12.020264,12.116846
54,12.020231,12.116846
55,12.020166,12.116846
56,12.020285,12.116846
57,12.020357,12.116846
58,12.020198,12.116846
59,12.020238,12.116846
60,12.020188,12.116846
61,12.020244,12.116846
62,12.020268,12.116846
63,12.020311,12.116846
64,12.020249,12.116846
65,12.020216,12.116846
66,12.020179,12.116846
67,12.020175,12.116846
68,12.0202055,12.116846
69,12.020203,12.116846
70,12.020262,12.116846
71,12.02031,12.116846
72,12.020211,12.116846
73,12.0202875,12.116846
74,12.020291,12.116846
75,12.020306,12.116846
76,12.020217,12.116846
77,12.020231,12.116846
78,12.020255,12.116846
79,12.020277,12.116846
80,12.020196,12.116846
81,12.020194,12.116846
82,12.020223,12.116846
83,12.02024,12.116846
84,12.020213,12.116846
85,12.020253,12.116846
86,12.020229,12.116846
87,12.020231,12.116846
88,12.02027,12.116846
89,12.020252,12.116846
90,12.020237,12.116846
91,12.020306,12.116846
92,12.020325,12.116846
93,12.020216,12.116846
94,12.020234,12.116846
95,12.020207,12.116846
96,12.020198,12.116846
97,12.020225,12.116846
98,12.0202675,12.116846
99,12.020257,12.116846
100,12.020228,12.116846
101,12.020245,12.116846
102,12.020218,12.116846
103,12.020203,12.116846
104,12.0202675,12.116846
105,12.020277,12.116846
106,12.020224,12.116846
